model,display_name,model_type,accuracy,precision_attack,recall_attack,f1_attack,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,train_time_seconds,prediction_time_seconds,tn,fp,fn,tp,false_positive_rate,false_negative_rate,algorithm,epochs_completed,tree_depth,num_leaves,prediction_time_per_sample_ms,weighted_score,rank_by_weighted_score,rank_by_recall_attack,rank_by_f1_attack
decision_tree,Decision Tree,Non-linear baseline,0.9167395423407666,0.9013120841068858,0.9531456807553164,0.9265044869251964,0.9197776656396376,0.9126404079452256,0.9152433350261968,0.9719101556444824,0.9662065066901896,3.955950736999512,0.0223748683929443,32269,4731,2124,43208,0.1278648648648648,0.0468543192446836,Decision Tree Classifier,,12.0,424,0.0002717639361723793,0.9405608131914196,1,1,1
deep_mlp,Deep MLP,Deep Learning,0.9063183209444688,0.8936441830776636,0.9419615282802436,0.91716694410138,0.9087457362174044,0.902305088464446,0.904683347660412,0.97944087286351,0.9847644660707984,117.59141182899477,0.3191850185394287,31918,5082,2631,42701,0.1373513513513513,0.0580384717197564,Deep Neural Network - Multi-Layer Perceptron,28.0,,,0.003876803898112869,0.9353037794835796,2,2,2
logistic_regression,Logistic Regression,Linear baseline,0.8355803332847496,0.8021591621842511,0.9309979705285448,0.8617897799785594,0.8484533150670237,0.8248368231021104,0.8294470265620701,0.955970251311048,0.9665857984474486,5.2639899253845215,0.0101211071014404,26591,10409,3128,42204,0.2813243243243243,0.069002029471455,Logistic Regression,,,,0.00012293041710927015,0.8969657029820458,3,3,3
