false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,8.823788934968675e-05,1.0
0.0,0.00011029736168710845,0.9999999999999998
0.0,0.00015441630636195183,0.999999999999998
0.0,0.00024265419571163857,0.9999999999990108
0.0,0.00028677314038648194,0.9999999999972655
0.0,0.0004191299744110121,0.9999999999961466
0.0,0.0005073678637606988,0.9999999999938347
0.0,0.0005294273360981205,0.9999999999857467
0.0,0.0006176652254478073,0.9999999999832232
0.0,0.000639724697785229,0.999999999970772
0.0,0.0006838436424600724,0.9999999999683269
0.0,0.000705903114797494,0.9999999999676932
0.0,0.0007941410041471808,0.9999999999651366
0.0,0.0009485573105091327,0.9999999999351912
0.0,0.000992676255183976,0.999999999933826
0.0,0.0012573899232330363,0.9999999997936047
0.0,0.0013015088679078797,0.999999999760864
5.4054054054054054e-05,0.0013015088679078797,0.9999999996931324
5.4054054054054054e-05,0.0014559251742698315,0.9999999986322343
5.4054054054054054e-05,0.001500044118944675,0.9999999984528822
5.4054054054054054e-05,0.002117709344392482,0.9999997872225785
5.4054054054054054e-05,0.0021838877614047472,0.9999997587610034
5.4054054054054054e-05,0.002205947233742169,0.999999757854553
5.4054054054054054e-05,0.0022500661784170123,0.9999997204296569
5.4054054054054054e-05,0.0023162445954292774,0.9999996961136977
5.4054054054054054e-05,0.0024486014294538075,0.9999994002272501
5.4054054054054054e-05,0.002625077208153181,0.9999986119702733
5.4054054054054054e-05,0.0026691961528280245,0.9999985843971844
5.4054054054054054e-05,0.002691255625165446,0.9999985602205483
5.4054054054054054e-05,0.0027353745698402896,0.9999985039614624
5.4054054054054054e-05,0.002757434042177711,0.9999984626947139
5.4054054054054054e-05,0.003066266654901615,0.9999982690734931
5.4054054054054054e-05,0.003198623488926145,0.9999978595851399
5.4054054054054054e-05,0.0033750992676255184,0.9999978111652956
5.4054054054054054e-05,0.0034192182123003617,0.9999977931036811
5.4054054054054054e-05,0.0034412776846377835,0.9999977831367866
5.4054054054054054e-05,0.0035295155739874704,0.9999977402970829
5.4054054054054054e-05,0.003551575046324892,0.9999976496449362
5.4054054054054054e-05,0.0035956939909997355,0.9999976347249403
5.4054054054054054e-05,0.0036398129356745787,0.9999976018359853
5.4054054054054054e-05,0.003683931880349422,0.9999975577173112
5.4054054054054054e-05,0.0037280508250242656,0.9999974429655504
5.4054054054054054e-05,0.003772169769699109,0.9999974425180094
5.4054054054054054e-05,0.003838348186711374,0.9999972872078462
5.4054054054054054e-05,0.003970705020735904,0.9999971444668834
5.4054054054054054e-05,0.0039927644930733254,0.9999970209072063
8.108108108108108e-05,0.0039927644930733254,0.9999970086255092
8.108108108108108e-05,0.004147180799435278,0.9999965662002488
8.108108108108108e-05,0.004191299744110121,0.9999964368352031
8.108108108108108e-05,0.004411894467484338,0.9999957985886656
8.108108108108108e-05,0.004456013412159181,0.9999956763902287
8.108108108108108e-05,0.00456631077384629,0.999995101378836
8.108108108108108e-05,0.004610429718521133,0.9999950987134093
8.108108108108108e-05,0.004632489190858555,0.9999950500609983
8.108108108108108e-05,0.004676608135533398,0.9999950225770236
8.108108108108108e-05,0.0047427865525456634,0.9999949484653518
8.108108108108108e-05,0.004786905497220506,0.9999949200515665
8.108108108108108e-05,0.0049854407482573014,0.9999939586057679
8.108108108108108e-05,0.005029559692932145,0.9999939259889408
8.108108108108108e-05,0.0050516191652695665,0.9999939161258851
0.00010810810810810811,0.0050516191652695665,0.999993757959017
0.00010810810810810811,0.005073678637606989,0.9999936922152382
0.00010810810810810811,0.005117797582281832,0.9999936096971684
0.00010810810810810811,0.005183975999294097,0.9999932052030774
0.00010810810810810811,0.00522809494396894,0.9999931913387016
0.00010810810810810811,0.0053604517779934704,0.999992581829035
0.00010810810810810811,0.005404570722668314,0.9999924490961187
0.00010810810810810811,0.005558987029030266,0.9999914976261258
0.00010810810810810811,0.005647224918379952,0.9999914456577573
0.00010810810810810811,0.005669284390717374,0.9999914273138105
0.00010810810810810811,0.005713403335392217,0.9999911148096934
0.00010810810810810811,0.00586781964175417,0.9999902808920427
0.00010810810810810811,0.005911938586429012,0.9999900626983959
0.00010810810810810811,0.0060001764757787,0.9999897654843724
0.00013513513513513514,0.0060001764757787,0.999989700925807
0.00013513513513513514,0.006022235948116121,0.9999896065333361
0.00013513513513513514,0.006066354892790965,0.9999895774936749
0.00013513513513513514,0.006176652254478073,0.9999889551369051
0.00013513513513513514,0.006220771199152916,0.9999888460600261
0.00013513513513513514,0.006242830671490338,0.9999888202830302
0.00013513513513513514,0.006331068560840025,0.999988763945534
0.00013513513513513514,0.0063531280331774465,0.9999887490577674
0.00016216216216216215,0.0063531280331774465,0.9999887252275342
0.00016216216216216215,0.006485484867201977,0.9999878115171186
0.0001891891891891892,0.006485484867201977,0.9999877995738533
0.0001891891891891892,0.006551663284214242,0.9999875313502435
0.0001891891891891892,0.006595782228889085,0.9999872716243884
0.0001891891891891892,0.0067281390629136155,0.9999862775933445
0.0001891891891891892,0.006772258007588458,0.9999862089698429
