precision,recall,threshold
0.5506000097167566,1.0,5.4566784e-19
0.5506066973557955,1.0,5.865361e-19
0.5506133851572939,1.0,8.14903e-18
0.5506200731212574,1.0,6.422195e-16
0.5506267612476922,1.0,1.235792e-15
0.550633449536604,1.0,1.9049775e-15
0.5506401379879989,1.0,7.814617e-15
0.5506468266018828,1.0,1.2854695e-14
0.550660204317141,1.0,1.4036415e-14
0.5506668934185273,1.0,1.501044e-14
0.5506735826824262,1.0,3.262282e-14
0.5506802721088435,1.0,3.3856175e-14
0.5506869616977854,1.0,4.064935e-14
0.5506936514492577,1.0,5.298177e-14
0.5507003413632664,1.0,7.6400786e-14
0.5507070314398173,1.0,7.905848e-14
0.5507137216789164,1.0,1.2731987e-13
0.5507204120805695,1.0,1.6240352e-13
0.5507271026447828,1.0,1.649563e-13
0.5507337933715618,1.0,1.7966012e-13
0.5507471753128417,1.0,1.7966696e-13
0.5507605579044564,1.0,1.7967005e-13
0.5507739411464535,1.0,1.7967039e-13
0.5508007095817842,1.0,1.7967793e-13
0.5508542542591197,1.0,1.7967828e-13
0.5508810305018835,1.0,1.7967862e-13
0.5509814646004254,1.0,3.7576954e-13
0.5509948585805793,1.0,5.695599e-13
0.551001555814858,1.0,6.024433e-13
0.5510082532119459,1.0,6.3097466e-13
0.5510149507718488,1.0,6.3969343e-13
0.5510216484945727,1.0,6.489497e-13
0.5510283463801235,1.0,6.8994094e-13
0.5510350444285071,1.0,7.7100257e-13
0.5510417426397296,1.0,7.9689976e-13
0.5510484410137969,1.0,7.974076e-13
0.5510551395507147,1.0,8.5773516e-13
0.5510618382504893,1.0,8.735455e-13
0.5510685371131263,1.0,8.736771e-13
0.551075236138632,1.0,9.279141e-13
0.5510819353270119,1.0,9.699246e-13
0.5510886346782723,1.0,1.0480905e-12
0.551095334192419,1.0,1.1093145e-12
0.5511020338694579,1.0,1.1626515e-12
0.5511087337093951,1.0,1.1784158e-12
0.5511154337122364,1.0,1.1911291e-12
0.5511221338779877,1.0,1.2329827e-12
0.551128834206655,1.0,1.2434688e-12
0.5511355346982444,1.0,1.2470433e-12
0.5511422353527616,1.0,1.3089881e-12
0.5511556371506037,1.0,1.3161382e-12
0.5511623382939402,1.0,1.3530331e-12
0.5511757410694745,1.0,1.3933043e-12
0.551182442701684,1.0,1.3952137e-12
0.551189144496863,1.0,1.4993258e-12
0.5511958464550174,1.0,1.5151025e-12
0.5512025485761533,1.0,1.8839184e-12
0.5512092508602765,1.0,1.9810137e-12
0.551215953307393,1.0,2.0099508e-12
0.5512226559175087,1.0,2.0704573e-12
0.5512293586906296,1.0,2.145826e-12
0.5512360616267616,1.0,2.3635581e-12
0.5512494679880829,1.0,2.3649969e-12
0.55126287500152,1.0,2.375091e-12
0.5512695787527969,1.0,2.405055e-12
0.5512829867444972,1.0,2.6351159e-12
0.5512896909849323,1.0,2.6420257e-12
0.5512963953884321,1.0,2.812797e-12
0.5513030999550026,1.0,2.8806267e-12
0.5513098046846496,1.0,2.968102e-12
0.5513165095773791,1.0,3.0532213e-12
0.5513232146331971,1.0,3.2335042e-12
0.5513299198521096,1.0,3.3332336e-12
0.5513366252341223,1.0,3.356072e-12
0.5513433307792414,1.0,3.4581238e-12
0.5513500364874726,1.0,3.520637e-12
0.5513567423588221,1.0,3.5292695e-12
0.5513634483932959,1.0,3.5363244e-12
0.5513701545908997,1.0,3.5435693e-12
0.5513768609516396,1.0,3.5479788e-12
0.5513835674755215,1.0,3.847396e-12
0.5513902741625514,1.0,3.8767062e-12
0.5513969810127353,1.0,4.009099e-12
0.5514036880260789,1.0,4.1077276e-12
0.5514103952025885,1.0,4.1999937e-12
0.5514171025422698,1.0,4.5591547e-12
0.5514238100451289,1.0,5.2524218e-12
0.5514305177111717,1.0,5.27645e-12
0.5514372255404041,1.0,5.3291555e-12
0.5514439335328322,1.0,5.540789e-12
0.5514506416884618,1.0,5.62901e-12
0.5514573500072989,1.0,5.801516e-12
0.5514640584893495,1.0,5.996417e-12
0.5514707671346196,1.0,6.0526527e-12
0.551477475943115,1.0,6.0659667e-12
0.5514841849148419,1.0,6.082163e-12
0.551490894049806,1.0,6.1234156e-12
0.5514976033480133,1.0,6.1619147e-12
0.5515043128094699,1.0,6.2461785e-12
0.5515110224341817,1.0,6.3339134e-12
0.5515177322221546,1.0,6.4432123e-12
0.5515244421733947,1.0,6.5988022e-12
0.5515311522879077,1.0,6.736567e-12
0.5515378625656998,1.0,6.941956e-12
0.551544573006777,1.0,7.0705347e-12
0.5515512836111449,1.0,7.1290348e-12
0.5515579943788098,1.0,7.513335e-12
0.5515647053097776,1.0,7.5789965e-12
0.5515714164040542,1.0,7.643744e-12
0.5515781276616455,1.0,7.685525e-12
0.5515848390825576,1.0,7.811857e-12
0.5515915506667964,1.0,7.821578e-12
0.5515982624143679,1.0,7.997796e-12
0.551604974325278,1.0,8.061523e-12
0.5516116863995327,1.0,8.477701e-12
0.551618398637138,1.0,8.685997e-12
0.5516251110380997,1.0,8.812775e-12
0.5516385363301167,1.0,8.8196195e-12
0.5516519622756313,1.0,8.819636e-12
0.5516653888746912,1.0,9.349178e-12
