threshold,precision_attack,recall_attack,f1_attack,accuracy
0.05,0.7440447851854284,0.9997794052766258,0.8531601487128806,0.8105111013943546
0.1,0.7443568260226713,0.9994926321362393,0.8532607672171899,0.8107175824709711
0.15000000000000002,0.749474624791091,0.9991396805788405,0.8564837138940103,0.8156366904727202
0.2,0.7579224172584751,0.9982131827406688,0.8616283940744126,0.8234708254384686
0.25,0.7731656759118085,0.9955881055325156,0.8703919772431417,0.8367463440703493
0.3,0.8063128986214249,0.9844480720021177,0.8865205256309657,0.8612325705679444
0.35000000000000003,0.8367234535544034,0.9718521132974499,0.8992396795427872,0.880083078268474
0.4,0.853906204143922,0.9627636106944322,0.9050734630818204,0.8888038672691055
0.45,0.8698401192058314,0.9529250860319421,0.9094890203591806,0.8955691590147209
0.5,0.8936441830776636,0.9419615282802435,0.91716694410138,0.9063183209444687
0.55,0.9111640498105035,0.9281081796523427,0.9195580665959981,0.9105936938250012
0.6000000000000001,0.9242346882145315,0.9184240712962146,0.9213202181922792,0.913630180245834
0.6500000000000001,0.9365838113448056,0.9076590487955528,0.9218946047678795,0.915318466695817
0.7000000000000001,0.9506132384608182,0.8959234095120445,0.9224584355410194,0.9170674828742166
0.7500000000000001,0.9623044951108762,0.8835701050030883,0.9212581220171353,0.9168367099062333
0.8,0.9741543327320797,0.8696946969028501,0.9189655373355244,0.9155492396638002
0.8500000000000001,0.9844520095523601,0.8548045530750904,0.9150589179871065,0.9126220667541175
0.9000000000000001,0.9917368338476021,0.836627547869055,0.9076028429894465,0.9062090074333188
0.9500000000000001,0.9955621301775148,0.8165313685696638,0.8972028311033546,0.8969780887139873
