false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.0053604517779934704,1.0
0.0,0.008206123709520868,0.9999999403953552
0.0,0.009309097326391952,0.9999998807907104
0.0,0.01213270978558193,0.9999998211860657
0.0,0.014978381717109327,0.9999997615814209
0.0,0.015331333274508073,0.9999997019767761
0.0,0.018309362040060003,0.9999996423721313
0.0,0.021530045001323567,0.9999995231628418
0.0,0.02375805170740316,0.999999463558197
0.0,0.026493426277243447,0.9999994039535522
0.0,0.027441983587752582,0.9999993443489075
0.0,0.02975822818318186,0.9999992847442627
0.0,0.03236124591899762,0.9999992251396179
0.0,0.034368657901702994,0.9999991655349731
0.0,0.03679519985881938,0.9999991059303284
0.0,0.03838348186711374,0.9999990463256836
0.0,0.04189093796876379,0.9999989867210388
0.0,0.04467043148327892,0.999998927116394
0.0,0.047891114444542485,0.9999988675117493
0.0,0.051244154239830586,0.9999988079071045
0.0,0.054575134562781256,0.9999987483024597
0.0,0.05640607076678726,0.9999986886978149
0.0,0.059185564281302394,0.9999986290931702
0.0,0.060641489455572226,0.9999985694885254
0.0,0.06181064148945557,0.9999985098838806
0.0,0.06677402276537545,0.9999984502792358
0.0,0.0690682078884673,0.9999983906745911
0.0,0.07295067501985353,0.9999983310699463
0.0,0.07575222800670608,0.9999982714653015
0.0,0.07952439777640519,0.9999982118606567
0.0,0.08270096179299391,0.999998152256012
0.0,0.08612018000529427,0.9999980926513672
0.0,0.08874525721344745,0.9999980330467224
0.0,0.09075266919615282,0.9999979734420776
0.0,0.09456895791052677,0.9999979138374329
0.0,0.09714991617400512,0.9999978542327881
0.0,0.09909114973969822,0.9999977946281433
0.0,0.10403247154328069,0.9999976754188538
0.0,0.10672372716844614,0.999997615814209
0.0,0.10817965234271597,0.9999975562095642
0.0,0.1108709079678814,0.9999974966049194
0.0,0.11237095208682608,0.9999974370002747
0.0,0.11398129356745787,0.9999973773956299
0.0,0.1152386834906909,0.9999973177909851
0.0,0.11817259331156799,0.9999972581863403
0.0,0.1207314921027089,0.9999971985816956
0.0,0.12265066619606459,0.9999971389770508
0.0,0.12399629400864731,0.999997079372406
0.0,0.12688608488484956,0.9999970197677612
0.0,0.1286729021441807,0.9999969601631165
0.0,0.13207006088414366,0.9999969005584717
0.0,0.13427600811788581,0.9999968409538269
0.0,0.13645989587929055,0.9999967813491821
0.0,0.1404526603723639,0.9999967217445374
0.0,0.142813023912468,0.9999966621398926
0.0,0.144643960116474,0.9999966025352478
0.0,0.1496294008647313,0.9999964833259583
0.0,0.1510412070943263,0.9999964237213135
0.0,0.15463690108532605,0.9999963641166687
0.0,0.15739433512750375,0.9999963045120239
0.0,0.1596664607782582,0.9999962449073792
0.0,0.16180622959498808,0.9999961853027344
0.0,0.16491661519456455,0.9999961256980896
0.0,0.16690196770493249,0.9999960660934448
0.0,0.1686446660195888,0.9999960064888
0.0,0.17076237536398128,0.9999959468841553
0.0,0.17144621900644136,0.9999958872795105
0.0,0.17385070149122034,0.9999958276748657
0.0,0.17501985352510369,0.999995768070221
0.0,0.17709344392482132,0.9999957084655762
0.0,0.17775522809494396,0.9999956488609314
0.0,0.17985087796699903,0.9999955892562866
0.0,0.18046854319244685,0.9999955296516418
0.0,0.18313773934527486,0.9999954700469971
0.0,0.18432895085149564,0.9999954104423523
0.0,0.18527750816200478,0.9999953508377075
0.0,0.1884540721785935,0.9999952912330627
0.0,0.18951292685078974,0.999995231628418
0.0,0.19085855466337245,0.9999951720237732
0.0,0.19319685873113915,0.9999951124191284
0.0,0.19672637430512663,0.9999950528144836
0.0,0.1984470131474455,0.9999949932098389
0.0,0.20065296038118768,0.9999949336051941
0.0,0.20296920497661697,0.9999948740005493
0.0,0.20546192535074562,0.9999948143959045
0.0,0.20705020735903998,0.9999947547912598
0.0,0.2092120356481073,0.999994695186615
0.0,0.21192535074561017,0.9999946355819702
0.0,0.21474896320480014,0.9999945163726807
0.0,0.21618282890673254,0.9999944567680359
0.0,0.21750639724697785,0.9999943971633911
0.0,0.21812406247242566,0.9999943375587463
0.0,0.21924909556163416,0.9999942779541016
0.0,0.2217197564634254,0.9999942183494568
0.0,0.22288890849730875,0.999994158744812
0.0,0.22566840201182387,0.9999940991401672
0.0,0.22685961351804465,0.9999940395355225
0.0,0.22818318185828995,0.9999939799308777
0.0,0.22860231183270097,0.9999939203262329
0.0,0.229859701755934,0.9999938607215881
0.0,0.23091855642813025,0.9999938011169434
0.0,0.2327053736874614,0.9999937415122986
0.0,0.23387452572134473,0.9999936819076538
0.0,0.23477896408717905,0.999993622303009
0.0,0.23753639812935676,0.9999935626983643
0.0,0.24031589164387188,0.9999935030937195
0.0,0.24157328156710492,0.9999934434890747
0.0,0.24355863407747286,0.9999933838844299
0.0,0.24448513191564458,0.9999933242797852
0.0,0.24549986764316598,0.9999932646751404
0.0,0.24922791846819023,0.9999932050704956
0.0,0.25143386570193244,0.9999931454658508
0.0,0.2530442071825642,0.999993085861206
0.0,0.25333098032295065,0.9999930262565613
0.0,0.2550957381099444,0.9999929666519165
0.0,0.2556251654460425,0.9999929070472717
0.0,0.2569266743139504,0.999992847442627
0.0,0.2579193505691344,0.9999927878379822
0.0,0.2597502867731404,0.9999927282333374
0.0,0.26063266566663723,0.9999926686286926
0.0,0.26235330450895616,0.9999925494194031
0.0,0.2628606723727168,0.9999924898147583
0.0,0.26385334862790083,0.9999924302101135
0.0,0.2650225006617842,0.9999923706054688
0.0,0.2659931174446307,0.999992311000824
0.0,0.26672108003176564,0.9999922513961792
0.0,0.2675813994529251,0.9999921917915344
0.0,0.268728492014471,0.9999921321868896
0.0,0.2699417629930292,0.9999920725822449
0.0,0.2702726550780905,0.9999920129776001
0.0,0.2710888555545751,0.9999919533729553
0.0,0.27252272125650756,0.9999918937683105
0.0,0.2734051001500044,0.9999918341636658
0.0,0.27475072796258715,0.999991774559021
0.0,0.27505956057531106,0.9999917149543762
0.0,0.27547869054972207,0.9999916553497314
0.0,0.2757213447454337,0.9999915957450867
0.0,0.2775743404217771,0.9999914765357971
0.0,0.2781478867025501,0.9999914169311523
0.0,0.2782140651195623,0.9999913573265076
0.0,0.27975822818318186,0.9999912977218628
0.0,0.2804420718256419,0.999991238117218
0.0,0.2809935586340775,0.9999911785125732
0.0,0.2811920938851143,0.9999911189079285
0.0,0.28225094855731053,0.9999910593032837
0.0,0.2827362569487338,0.9999909996986389
0.0,0.2839936468719668,0.9999909400939941
0.0,0.28412600370599134,0.9999908804893494
0.0,0.28430247948469073,0.9999908208847046
0.0,0.28494220418247596,0.9999907612800598
0.0,0.2855157504632489,0.999990701675415
0.0,0.2862437130503838,0.9999906420707703
0.0,0.2862878319950587,0.9999905824661255
0.0,0.28741286508426717,0.9999905228614807
0.0,0.28780993558634077,0.9999904632568359
0.0,0.2909203211859172,0.9999904036521912
0.0,0.2918027000794141,0.9999903440475464
0.0,0.29213359216447543,0.9999902844429016
0.0,0.29286155475161035,0.9999902248382568
0.0,0.2935012794493956,0.9999901652336121
0.0,0.2941630636195182,0.9999901056289673
0.0,0.2945601341215918,0.9999900460243225
0.0,0.29572928615547517,0.9999899864196777
0.0,0.2958616429894997,0.999989926815033
0.0,0.2965454866319598,0.9999898672103882
0.0,0.2969866760787082,0.9999898076057434
0.0,0.29747198447013146,0.9999897480010986
0.0,0.29802347127856704,0.9999896883964539
0.0,0.2987073149210271,0.9999896287918091
0.0,0.2988176122827142,0.9999895691871643
0.0,0.2988837906997265,0.9999895095825195
0.0,0.29958969381452394,0.9999894499778748
0.0,0.30212653313332744,0.99998939037323
0.0,0.3038251125033089,0.9999893307685852
0.0,0.3042001235330451,0.9999892711639404
0.0,0.3046192535074561,0.9999892115592957
0.0,0.30534721609459103,0.9999891519546509
0.0,0.30561192976264007,0.9999890923500061
0.0,0.30598694079237626,0.9999890327453613
0.0,0.3061413570987382,0.9999889731407166
0.0,0.3072884496602841,0.9999889135360718
0.0,0.30742080649430864,0.999988853931427
0.0,0.3088987911409159,0.9999887943267822
0.0,0.3090752669196153,0.9999887347221375
0.0,0.3096046942557134,0.9999886751174927
0.0,0.3096708726727257,0.9999886155128479
0.0,0.30984734845142503,0.9999885559082031
0.0,0.31004588370246183,0.9999884963035583
0.0,0.3102003000088238,0.9999884366989136
0.0,0.31026647842583605,0.999988317489624
0.0,0.31072972734492194,0.9999882578849792
0.0,0.31077384628959676,0.9999881386756897
0.0,0.3109282625959587,0.9999880790710449
0.0,0.3112370952086826,0.9999880194664001
2.7027027027027027e-05,0.3115459278214065,0.9999879598617554
2.7027027027027027e-05,0.3116121062384188,0.9999879002571106
2.7027027027027027e-05,0.3125606635489279,0.9999878406524658
2.7027027027027027e-05,0.31289155563398924,0.999987781047821
2.7027027027027027e-05,0.31291361510632665,0.9999877214431763
2.7027027027027027e-05,0.31306803141268863,0.9999876618385315
2.7027027027027027e-05,0.3139945292508603,0.9999876022338867
2.7027027027027027e-05,0.3147004323656578,0.9999875426292419
2.7027027027027027e-05,0.31474455131033263,0.9999874830245972
2.7027027027027027e-05,0.31505338392305654,0.9999873638153076
2.7027027027027027e-05,0.31522985970175593,0.9999873042106628
2.7027027027027027e-05,0.31578134651019146,0.9999872446060181
2.7027027027027027e-05,0.31586958439954116,0.9999871850013733
2.7027027027027027e-05,0.3170607959057619,0.9999871253967285
2.7027027027027027e-05,0.317325509573811,0.9999870657920837
2.7027027027027027e-05,0.3192888026118415,0.999987006187439
2.7027027027027027e-05,0.3194432189182035,0.9999869465827942
2.7027027027027027e-05,0.3196417541692403,0.9999868869781494
2.7027027027027027e-05,0.3199064678372893,0.9999867677688599
2.7027027027027027e-05,0.3200829436159887,0.9999867081642151
2.7027027027027027e-05,0.3201050030883261,0.9999866485595703
2.7027027027027027e-05,0.32023735992235064,0.9999865293502808
2.7027027027027027e-05,0.3207888467307862,0.999986469745636
2.7027027027027027e-05,0.3212962145945469,0.9999864101409912
2.7027027027027027e-05,0.3215829877349334,0.9999863505363464
2.7027027027027027e-05,0.3216932850966205,0.9999862909317017
2.7027027027027027e-05,0.3222227124327186,0.9999862313270569
2.7027027027027027e-05,0.3223330097944057,0.9999861121177673
2.7027027027027027e-05,0.3224212476837554,0.9999860525131226
2.7027027027027027e-05,0.3227300802964793,0.9999859929084778
2.7027027027027027e-05,0.3227521397688167,0.999985933303833
2.7027027027027027e-05,0.32319332921556515,0.9999858736991882
2.7027027027027027e-05,0.32325950763257744,0.9999857544898987
2.7027027027027027e-05,0.32336980499426454,0.9999855756759644
2.7027027027027027e-05,0.32350216182828906,0.99998539686203
2.7027027027027027e-05,0.32352422130062647,0.9999853372573853
2.7027027027027027e-05,0.32429630283243627,0.9999852776527405
2.7027027027027027e-05,0.3251566222535957,0.9999852180480957
2.7027027027027027e-05,0.3252669196152828,0.9999849796295166
2.7027027027027027e-05,0.32539927644930733,0.9999847412109375
2.7027027027027027e-05,0.32570810906203124,0.9999846816062927
2.7027027027027027e-05,0.32595076325774286,0.999984622001648
2.7027027027027027e-05,0.32597282273008027,0.9999845623970032
2.7027027027027027e-05,0.32621547692579195,0.9999845027923584
