epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0,0.893920361995697,0.9705527424812317,0.22261522710323334,0.9301832318305969,0.8902482390403748,0.9702016115188599,0.0,0.07585850358009338,1.0,0.9702016115188599,0.0010000000474974513
1,0.9078789949417114,0.9812857508659363,0.17302222549915314,0.9530848860740662,0.8904974460601807,0.9587954878807068,0.0,0.06724414229393005,1.0,0.9587954878807068,0.0010000000474974513
2,0.9103670120239258,0.9828798174858093,0.1654033213853836,0.9580761790275574,0.8897379636764526,0.9619321823120117,0.0,0.06327342987060547,1.0,0.9619321823120117,0.0010000000474974513
3,0.9124415516853333,0.9838443398475647,0.1606704592704773,0.9606239795684814,0.8907703757286072,0.9608200788497925,0.0,0.06433182209730148,1.0,0.9608200788497925,0.0010000000474974513
4,0.9137318730354309,0.9844026565551758,0.1581466794013977,0.9617879986763,0.8918383121490479,0.9568849802017212,0.0,0.06684783101081848,1.0,0.9568849802017212,0.0010000000474974513
5,0.9146444201469421,0.984894335269928,0.15547515451908112,0.9627965092658997,0.8924078941345215,0.9618751406669617,0.0,0.06296752393245697,1.0,0.9618751406669617,0.0010000000474974513
6,0.916319727897644,0.9852991104125977,0.15377698838710785,0.964009702205658,0.8940929174423218,0.9545467495918274,0.0,0.06979077309370041,1.0,0.9545467495918274,0.0010000000474974513
7,0.9176385998725891,0.9855405688285828,0.15280207991600037,0.9634439945220947,0.8969408869743347,0.963101327419281,0.0,0.06258928775787354,1.0,0.963101327419281,0.0010000000474974513
8,0.9185154438018799,0.9856564402580261,0.1522100269794464,0.962735652923584,0.8991717100143433,0.961846649646759,0.0,0.06338849663734436,1.0,0.961846649646759,0.0010000000474974513
9,0.9204972982406616,0.9859687685966492,0.15058918297290802,0.963712215423584,0.9016162157058716,0.9710285663604736,0.0,0.054841142147779465,1.0,0.9710285663604736,0.0010000000474974513
10,0.9200909733772278,0.9861541390419006,0.14958426356315613,0.963650643825531,0.9009754061698914,0.9672074913978577,0.0,0.05830422043800354,1.0,0.9672074913978577,0.0010000000474974513
11,0.9209464192390442,0.9862988591194153,0.1489882618188858,0.9652743339538574,0.9008211493492126,0.9593943357467651,0.0,0.06801029294729233,1.0,0.9593943357467651,0.0010000000474974513
12,0.9227358102798462,0.9866193532943726,0.14742279052734375,0.9655382037162781,0.9036453366279602,0.9635860919952393,0.0,0.06241440400481224,1.0,0.9635860919952393,0.0010000000474974513
13,0.924047589302063,0.9870356321334839,0.14523085951805115,0.9668704271316528,0.9045709371566772,0.9696027636528015,0.0,0.055196795612573624,1.0,0.9696027636528015,0.0005000000237487257
14,0.924140214920044,0.9871963262557983,0.14443287253379822,0.9674450159072876,0.9041556119918823,0.9702871441841125,0.0,0.05541766807436943,1.0,0.9702871441841125,0.0005000000237487257
15,0.9247889518737793,0.9873847961425781,0.14344079792499542,0.9674351215362549,0.9052829146385193,0.9704867601394653,0.0,0.05406882241368294,1.0,0.9704867601394653,0.0005000000237487257
16,0.9257371425628662,0.9874398708343506,0.14307841658592224,0.9676557183265686,0.9066950082778931,0.9694601893424988,0.0,0.055569738149642944,1.0,0.9694601893424988,0.0005000000237487257
17,0.9258654713630676,0.9875598549842834,0.14240290224552155,0.9676986336708069,0.9068729877471924,0.9706293344497681,0.0,0.053677964955568314,1.0,0.9706293344497681,0.0005000000237487257
18,0.9244325160980225,0.987522304058075,0.1421181857585907,0.9681034684181213,0.9040013551712036,0.9670364260673523,0.0,0.05700110271573067,1.0,0.9670364260673523,0.0005000000237487257
19,0.9253165125846863,0.9875063896179199,0.14259879291057587,0.9679161906242371,0.9057101011276245,0.9694601893424988,0.0,0.05422450602054596,1.0,0.9694601893424988,0.0005000000237487257
20,0.9258298277854919,0.9877576231956482,0.1415485143661499,0.9678624868392944,0.9066475033760071,0.9694601893424988,0.0,0.05520617589354515,1.0,0.9694601893424988,0.0005000000237487257
21,0.925879716873169,0.987980306148529,0.13999246060848236,0.9692919254302979,0.9053066372871399,0.9706578254699707,0.0,0.05129782482981682,1.0,0.9706578254699707,0.0002500000118743628
22,0.9267708659172058,0.9880883693695068,0.1390792578458786,0.96940016746521,0.906730592250824,0.9700304865837097,0.0,0.05363178998231888,1.0,0.9700304865837097,0.0002500000118743628
23,0.9271059036254883,0.9881176352500916,0.13920554518699646,0.9695136547088623,0.9071933627128601,0.9702016115188599,0.0,0.05165479704737663,1.0,0.9702016115188599,0.0002500000118743628
24,0.9264785647392273,0.988195538520813,0.13868448138237,0.969027042388916,0.9066000580787659,0.9697453379631042,0.0,0.053163498640060425,1.0,0.9697453379631042,0.0002500000118743628
25,0.926571249961853,0.988283097743988,0.13778729736804962,0.9701530337333679,0.9056388735771179,0.9678918719291687,0.0,0.05455637350678444,1.0,0.9678918719291687,0.0001250000059371814
26,0.9268350005149841,0.988290548324585,0.13798563182353973,0.9699998497962952,0.9062440395355225,0.9693746566772461,0.0,0.05304603651165962,1.0,0.9693746566772461,0.0001250000059371814
27,0.9275835752487183,0.9883938431739807,0.13753361999988556,0.9699444770812988,0.9075849652290344,0.9701160788536072,0.0,0.052266355603933334,1.0,0.9701160788536072,0.0001250000059371814
