threshold,precision_attack,recall_attack,f1_attack,accuracy
0.05,0.742129917777705,0.9995146916085768,0.8518038087718309,0.8085070203566049
0.1,0.7436638214051214,0.9993823347745522,0.8527651244211873,0.8099888257299713
0.15000000000000002,0.7573747424493693,0.9973749227918468,0.8609622104371174,0.8226327551863188
0.2,0.7721906652066794,0.9956101650048531,0.869782231643862,0.8358596900354661
0.25,0.7795642166109967,0.9936468719668226,0.8736822709066752,0.8417990574746149
0.3,0.7821433551805885,0.9898085237801112,0.8738072054527751,0.8425885439440315
0.35000000000000003,0.8438476785850423,0.9766831377393452,0.9054192229038854,0.8876500024291891
0.4,0.8707460084782694,0.9696682255360451,0.9175485837142797,0.9040470291016859
0.45,0.8717627152383797,0.966050472072708,0.9164879090062469,0.9030632075013361
0.5,0.9013120841068858,0.9531456807553164,0.9265044869251965,0.9167395423407666
0.55,0.9118893267234439,0.9495058678196417,0.9303175049171115,0.9216829422338824
0.6000000000000001,0.9252530945825836,0.9415203388334951,0.9333158395381638,0.9259218772773649
0.6500000000000001,0.9388224369320569,0.9366893143915997,0.9377546626031072,0.9315333041830637
0.7000000000000001,0.9450677677048739,0.9290567369628518,0.9369938595710599,0.9312053636496137
0.7500000000000001,0.950523638196943,0.9149827936115769,0.9324146612865155,0.9269664286061313
0.8,0.9546979477568774,0.9102400070590312,0.9319390647408896,0.9267963853665646
0.8500000000000001,0.9604463673546587,0.8961440042354187,0.92718164078102,0.9224967205946655
0.9000000000000001,0.9649772890270141,0.8904306009000265,0.9262063743374406,0.9218772773648156
0.9500000000000001,0.9675761742780633,0.8847392570369716,0.9243054515285252,0.9202132828061993
