precision,recall,threshold
0.5506000097167566,1.0,9.86613379670003e-70
0.5506066973557955,1.0,1.6177186678020177e-67
0.5506133851572939,1.0,2.0088392386943294e-65
0.5506200731212574,1.0,3.674408599525723e-64
0.5506267612476922,1.0,5.023673084762055e-64
0.550633449536604,1.0,2.420370024051589e-63
0.5506401379879989,1.0,1.1245597086714058e-60
0.5506468266018828,1.0,7.262732864911272e-60
0.5506535153782615,1.0,1.0136559585244068e-58
0.550660204317141,1.0,1.128901992021922e-58
0.5506668934185273,1.0,3.647618128667432e-58
0.5506735826824262,1.0,3.809309935223397e-58
0.5506802721088435,1.0,5.002297052900862e-58
0.5506869616977854,1.0,8.295107043996088e-58
0.5506936514492577,1.0,9.142199408491675e-58
0.5507003413632664,1.0,1.0910518790490327e-57
0.5507070314398173,1.0,1.093932468044561e-57
0.5507137216789164,1.0,1.1503422150288177e-57
0.5507204120805695,1.0,1.2634261532539686e-57
0.5507271026447828,1.0,1.2891449768919197e-57
0.5507337933715618,1.0,1.2994109373034504e-57
0.5507404842609129,1.0,1.3189344857512243e-57
0.5507471753128417,1.0,1.3872422572277404e-57
0.5507538665273543,1.0,1.404979710023834e-57
0.5507605579044564,1.0,1.5753115450161807e-57
0.5507672494441542,1.0,1.7586565509209114e-57
0.5507739411464535,1.0,1.883040339390307e-57
0.5507806330113602,1.0,2.144538939242159e-57
0.5507873250388803,1.0,2.3111232871271944e-57
0.5507940172290196,1.0,2.4388678403432624e-57
0.5508007095817842,1.0,2.460446604281621e-57
0.5508074020971798,1.0,2.641756873164817e-57
0.5508140947752126,1.0,2.952865414210014e-57
0.5508207876158884,1.0,3.153054900159916e-57
0.550827480619213,1.0,3.165355477162712e-57
0.5508341737851926,1.0,3.315986324841208e-57
0.550840867113833,1.0,3.597168320314688e-57
0.5508475606051401,1.0,3.9496592891948984e-57
0.5508542542591197,1.0,3.95369807922724e-57
0.550860948075778,1.0,3.954357136276452e-57
0.5508676420551208,1.0,5.108685204262901e-57
0.550874336197154,1.0,5.782585952721543e-57
0.5508810305018835,1.0,6.085591540145862e-57
0.5508877249693155,1.0,6.183384013130887e-57
0.5508944195994556,1.0,6.82080994662384e-57
0.5509011143923098,1.0,6.877261039450383e-57
0.5509078093478842,1.0,7.311864673290874e-57
0.5509145044661846,1.0,7.766996267341108e-57
0.550921199747217,1.0,7.855723633319987e-57
0.5509278951909872,1.0,9.264175128532302e-57
0.5509345907975013,1.0,9.330394369639966e-57
0.5509412865667651,1.0,1.0067227453068817e-56
0.5509479824987846,1.0,1.063462195084234e-56
0.5509546785935658,1.0,1.1128261306828784e-56
0.5509613748511145,1.0,1.141624274792027e-56
0.5509680712714368,1.0,1.212877916561595e-56
0.5509747678545384,1.0,1.2593283232489683e-56
0.5509814646004254,1.0,1.3864510805903064e-56
0.5509881615091037,1.0,1.402071749644766e-56
0.5509948585805793,1.0,1.4271617336364484e-56
0.551001555814858,1.0,1.4490688533415007e-56
0.5510082532119459,1.0,1.478196551554653e-56
0.5510149507718488,1.0,1.6778247246299187e-56
0.5510216484945727,1.0,1.7161940114851035e-56
0.5510283463801235,1.0,1.7372912973106316e-56
0.5510350444285071,1.0,1.8840685866863866e-56
0.5510417426397296,1.0,1.893812026966699e-56
0.5510484410137969,1.0,2.1222346899202573e-56
0.5510551395507147,1.0,2.2480548854262957e-56
0.5510618382504893,1.0,2.329224542153808e-56
0.5510685371131263,1.0,2.3579269600053575e-56
0.551075236138632,1.0,2.426788026159247e-56
0.5510819353270119,1.0,2.579744561240072e-56
0.5510886346782723,1.0,2.6135716836515593e-56
0.551095334192419,1.0,2.6237279378941013e-56
0.5511020338694579,1.0,3.068314442687947e-56
0.5511087337093951,1.0,3.1766587571385315e-56
0.5511154337122364,1.0,3.2068713630809997e-56
0.5511221338779877,1.0,3.3209137664594255e-56
0.551128834206655,1.0,3.4294302454932385e-56
0.5511355346982444,1.0,3.552986746040778e-56
0.5511422353527616,1.0,3.687916324900214e-56
0.5511489361702128,1.0,3.805970721209875e-56
0.5511556371506037,1.0,3.922293628202331e-56
0.5511623382939402,1.0,3.9262555986123083e-56
0.5511690396002286,1.0,4.05004167289448e-56
0.5511757410694745,1.0,4.289674770574171e-56
0.551182442701684,1.0,4.48845292233644e-56
0.551189144496863,1.0,4.492217176311555e-56
0.5511958464550174,1.0,4.60979553202242e-56
0.5512025485761533,1.0,5.0471298254902775e-56
0.5512092508602765,1.0,5.309190099624444e-56
0.551215953307393,1.0,5.369846314830549e-56
0.5512226559175087,1.0,5.513401875016336e-56
0.5512293586906296,1.0,5.518434504783743e-56
0.5512360616267616,1.0,5.657465314282241e-56
0.5512427647259108,1.0,6.106393710835916e-56
0.5512494679880829,1.0,6.358479940500525e-56
0.5512561714132841,1.0,6.808402909296488e-56
0.55126287500152,1.0,6.855744336079566e-56
0.5512695787527969,1.0,7.110258125441502e-56
0.5512762826671207,1.0,7.310066662482514e-56
0.5512829867444972,1.0,7.368300226454037e-56
0.5512896909849323,1.0,7.443886210850964e-56
0.5512963953884321,1.0,7.454089774994901e-56
0.5513030999550026,1.0,7.772301307832795e-56
0.5513098046846496,1.0,8.13551689027737e-56
0.5513165095773791,1.0,8.726948432083998e-56
0.5513232146331971,1.0,8.9802532707776e-56
0.5513299198521096,1.0,8.982411051362033e-56
0.5513366252341223,1.0,9.17559486486832e-56
0.5513433307792414,1.0,9.33098317351441e-56
0.5513500364874726,1.0,9.582101428601992e-56
0.5513567423588221,1.0,1.0515501083152022e-55
0.5513634483932959,1.0,1.0811029967889964e-55
0.5513701545908997,1.0,1.0936658823179913e-55
0.5513768609516396,1.0,1.1146096905646534e-55
0.5513835674755215,1.0,1.1405868933112472e-55
0.5513902741625514,1.0,1.1448340045149347e-55
0.5513969810127353,1.0,1.1545964327152377e-55
0.5514036880260789,1.0,1.178225447296633e-55
0.5514103952025885,1.0,1.1835937226983381e-55
0.5514171025422698,1.0,1.2004425692175267e-55
0.5514238100451289,1.0,1.2223635901911964e-55
0.5514305177111717,1.0,1.2573102917172506e-55
0.5514372255404041,1.0,1.3114941549255574e-55
0.5514439335328322,1.0,1.3761037755817569e-55
0.5514506416884618,1.0,1.4523223753523525e-55
0.5514573500072989,1.0,1.4871050949126648e-55
0.5514640584893495,1.0,1.5624722600893575e-55
0.5514707671346196,1.0,1.6120427678398353e-55
