threshold,precision_attack,recall_attack,f1_attack,accuracy
0.05,0.7449763836545266,0.9985661342980676,0.8533295631273858,0.8109969392216878
0.1,0.7472633025851647,0.9953675108091414,0.8536536915291113,0.8120900743331876
0.15000000000000002,0.7478973402394951,0.9906026647842584,0.8523084223013049,0.8109726473303212
0.2,0.7489383130507763,0.984249536751081,0.8506200730170532,0.8096608851965214
0.25,0.7503340267559659,0.9786684902497133,0.8494241759924946,0.8089564203468882
0.3,0.7531093784655282,0.9737492279184682,0.8493337822887104,0.8097823446533547
0.35000000000000003,0.7580739972337482,0.9672416835789288,0.8499786763850657,0.8120050527134043
0.4,0.7669724770642202,0.9589693814523956,0.8522918872289534,0.8169848904435699
0.45,0.780720261913423,0.9468807906114886,0.8558098731956296,0.8243210416363018
0.5,0.8021591621842511,0.9309979705285449,0.8617897799785594,0.8355803332847496
0.55,0.8314809976485721,0.9126444895438102,0.8701742578005868,0.85005830053928
0.6000000000000001,0.8665424004799246,0.8921953586870202,0.8791817924917941,0.8649856677840937
0.6500000000000001,0.8998904409750753,0.8697167563751875,0.8845463519698465,0.8749939270271583
0.7000000000000001,0.9281358567576103,0.8427380217065208,0.8833778456060027,0.8774838458922412
0.7500000000000001,0.9555204393554738,0.813663637165799,0.8789048538137108,0.8765486080746246
0.8,0.9781641168289291,0.7757213447454336,0.8652592209837356,0.86697760287616
0.8500000000000001,0.9897126640652714,0.7385511338568781,0.8458817584638706,0.851819462663363
0.9000000000000001,0.9937593229626472,0.7201094149827936,0.8350878090584669,0.8434023223048146
0.9500000000000001,0.995576923076923,0.6852113297449925,0.8117388804683009,0.8250012145945683
